symbol,company_name,resolved_exchange,instrument_token,mapping_confidence,rows_written,earliest_timestamp,latest_timestamp,empty_chunks,failed_chunks,status,notes
ABB,ABB India,NSE,3329,exact_symbol_nse,93617,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
ADANIPORTS,Adani Ports and SEZ,NSE,3861249,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
APOLLOHOSP,Apollo Hospitals Enterprise,NSE,40193,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,4,has_errors,
ASIANPAINT,Asian Paints,NSE,60417,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
AXISBANK,Axis Bank,NSE,1510401,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
BAJAJ-AUTO,Bajaj Auto,NSE,4267265,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
BAJAJFINSV,Bajaj Finserv,NSE,4268801,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
BAJFINANCE,Bajaj Finance,NSE,81153,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
BEL,Bharat Electronics,NSE,98049,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
BHARTIARTL,Bharti Airtel,NSE,2714625,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,4,has_errors,
BRITANNIA,Britannia Industries,NSE,140033,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
CHOLAFIN,Cholamandalam Investment and Finance,NSE,175361,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
CIPLA,Cipla,NSE,177665,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
COALINDIA,Coal India,NSE,5215745,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
DABUR,Dabur India,NSE,197633,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
DIVISLAB,Divis Laboratories,NSE,2800641,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
DRREDDY,Dr Reddys Laboratories,NSE,225537,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
EICHERMOT,Eicher Motors,NSE,232961,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
GRASIM,Grasim Industries,NSE,315393,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
HAL,Hindustan Aeronautics,NSE,589569,exact_symbol_nse,92894,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
HCLTECH,HCLTech,NSE,1850625,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
HDFCBANK,HDFC Bank,NSE,341249,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
HDFCLIFE,HDFC Life Insurance,NSE,119553,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
HINDALCO,Hindalco Industries,NSE,348929,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,4,has_errors,
HINDUNILVR,Hindustan Unilever,NSE,356865,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
ICICIBANK,ICICI Bank,NSE,1270529,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
INDIGO,InterGlobe Aviation,NSE,2865921,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
INFY,Infosys,NSE,408065,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
ITC,ITC,NSE,424961,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
JSWSTEEL,JSW Steel,NSE,3001089,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
KOTAKBANK,Kotak Mahindra Bank,NSE,492033,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
LT,Larsen and Toubro,NSE,2939649,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
M&M,Mahindra and Mahindra,NSE,519937,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
MARUTI,Maruti Suzuki,NSE,2815745,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,3,has_errors,
NESTLEIND,Nestle India,NSE,4598529,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
NTPC,NTPC,NSE,2977281,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
ONGC,Oil and Natural Gas Corporation,NSE,633601,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
POWERGRID,Power Grid Corporation of India,NSE,3834113,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
RELIANCE,Reliance Industries,NSE,738561,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
SBILIFE,SBI Life Insurance,NSE,5582849,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
SBIN,State Bank of India,NSE,779521,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
SIEMENS,Siemens India,NSE,806401,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
SUNPHARMA,Sun Pharmaceutical Industries,NSE,857857,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
TATASTEEL,Tata Steel,NSE,895745,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
TCS,Tata Consultancy Services,NSE,2953217,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
TECHM,Tech Mahindra,NSE,3465729,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
TITAN,Titan Company,NSE,897537,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,1,has_errors,
TMPV,Tata Motors,NSE,884737,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,2,has_errors,
ULTRACEMCO,UltraTech Cement,NSE,2952193,exact_symbol_nse,94064,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
WIPRO,Wipro,NSE,969473,exact_symbol_nse,94063,2020-01-01T09:15:00+0530,2020-12-31T15:29:00+0530,0,0,complete,
