,Unnamed: 0,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
154514,154514,769,3,GOLDSTAR-ST,GOLDSTAR POWER,0.0,,0.0,0.05,11250,EQ,NSE,NSE
154515,154515,1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.01,1,EQ,NSE,NSE
154516,154516,1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
154517,154517,3329,13,ABB,ABB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE
154519,154519,4353,17,GATECHDVR,GACM TECHNOLOGIES,0.0,,0.0,0.01,1,EQ,NSE,NSE
154521,154521,4865,19,STYRENIX,STYRENIX PERFORMANCE,0.0,,0.0,0.1,1,EQ,NSE,NSE
154524,154524,5633,22,ACC,ACC,0.0,,0.0,0.1,1,EQ,NSE,NSE
154526,154526,6401,25,ADANIENT,ADANI ENTERPRISES,0.0,,0.0,0.1,1,EQ,NSE,NSE
154530,154530,8705,34,ADOR,ADOR WELDING,0.0,,0.0,0.1,1,EQ,NSE,NSE
154533,154533,10241,40,AEGISLOG,AEGIS LOGISTICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
154536,154536,11777,46,SANWARIA-BZ,SANWARIA CONSUMER,0.0,,0.0,0.01,1,EQ,NSE,NSE
154537,154537,12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,0.0,,0.0,0.05,1,EQ,NSE,NSE
154543,154543,20225,79,ALEMBICLTD,ALEMBIC,0.0,,0.0,0.01,1,EQ,NSE,NSE
154550,154550,25601,100,ARE&M,AMARA RAJA ENERGY MOB,0.0,,0.0,0.05,1,EQ,NSE,NSE
154551,154551,26625,104,SHAREINDIA,SHARE IND. SECURITIES,0.0,,0.0,0.01,1,EQ,NSE,NSE
154552,154552,29953,117,OMFURN-SM,OMFURN INDIA,0.0,,0.0,0.05,1200,EQ,NSE,NSE
154553,154553,32769,128,ROUTE,ROUTE MOBILE,0.0,,0.0,0.05,1,EQ,NSE,NSE
154554,154554,34817,136,ANDHRSUGAR,ANDHRA SUGARS,0.0,,0.0,0.01,1,EQ,NSE,NSE
154555,154555,36865,144,GODREJAGRO,GODREJ AGROVET,0.0,,0.0,0.05,1,EQ,NSE,NSE
154557,154557,39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0.0,,0.0,0.05,1,EQ,NSE,NSE
154558,154558,40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0,,0.0,0.5,1,EQ,NSE,NSE
154561,154561,41473,162,MILTON-ST,MILTON INDUSTRIES,0.0,,0.0,0.05,4400,EQ,NSE,NSE
154562,154562,41729,163,APOLLOTYRE,APOLLO TYRES,0.0,,0.0,0.05,1,EQ,NSE,NSE
154565,154565,42497,166,ANDHRAPAP,ANDHRA PAPER,0.0,,0.0,0.01,1,EQ,NSE,NSE
154571,154571,46337,181,ARENTERP,RAJDARSHAN INDUSTRIES,0.0,,0.0,0.01,1,EQ,NSE,NSE
154573,154573,47105,184,TCPLPACK,TCPL PACKAGING,0.0,,0.0,0.1,1,EQ,NSE,NSE
154577,154577,49409,193,ARVIND,ARVIND,0.0,,0.0,0.05,1,EQ,NSE,NSE
154578,154578,50945,199,MASFIN,MAS FINANCIAL SERV,0.0,,0.0,0.05,1,EQ,NSE,NSE
154579,154579,51457,201,UNIDT,UNITED DRILLING TOOLS,0.0,,0.0,0.01,1,EQ,NSE,NSE
154580,154580,51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0.0,,0.0,0.05,1,EQ,NSE,NSE
154581,154581,52737,206,ASHIMASYN,ASHIMA,0.0,,0.0,0.01,1,EQ,NSE,NSE
154582,154582,54273,212,ASHOKLEY,ASHOK LEYLAND,0.0,,0.0,0.01,1,EQ,NSE,NSE
154583,154583,56321,220,IEX,INDIAN ENERGY EXC,0.0,,0.0,0.01,1,EQ,NSE,NSE
154584,154584,60417,236,ASIANPAINT,ASIAN PAINTS,0.0,,0.0,0.1,1,EQ,NSE,NSE
154585,154585,61441,240,AAKASH-BE,AAKASH EXPLORATION SER L,0.0,,0.0,0.01,1,EQ,NSE,NSE
154586,154586,62721,245,ADL,ARCHIDPLY DECOR,0.0,,0.0,0.01,1,EQ,NSE,NSE
154587,154587,65281,255,NIRAJ,NIRAJ CEMENT STRUC,0.0,,0.0,0.01,1,EQ,NSE,NSE
154588,154588,67329,263,ATUL,ATUL,0.0,,0.0,0.5,1,EQ,NSE,NSE
154589,154589,69121,270,CHEMCON,CHEMCON SPECIAL CHEM,0.0,,0.0,0.01,1,EQ,NSE,NSE
154590,154590,70401,275,AUROPHARMA,AUROBINDO PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE
154591,154591,70913,277,GICRE,GENERAL INS CORP OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
154592,154592,71169,278,AUTOAXLES,AUTOMOTIVE AXLES,0.0,,0.0,0.1,1,EQ,NSE,NSE
154599,154599,78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0.0,,0.0,1.0,1,EQ,NSE,NSE
154602,154602,78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0.0,,0.0,0.01,1,EQ,NSE,NSE
154605,154605,79873,312,TIINDIA,TUBE INVEST OF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE
154610,154610,81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
154615,154615,82945,324,ANGELONE,ANGEL ONE,0.0,,0.0,0.01,1,EQ,NSE,NSE
154616,154616,84481,330,VALIANTORG,VALIANT ORGANICS,0.0,,0.0,0.01,1,EQ,NSE,NSE
154617,154617,85761,335,BALKRISIND,BALKRISHNA IND.,0.0,,0.0,0.1,1,EQ,NSE,NSE
154618,154618,86529,338,BALMLAWRIE,BALMER LAWRIE & CO,0.0,,0.0,0.01,1,EQ,NSE,NSE
154619,154619,87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE
154620,154620,87553,342,CAMS,COMPUTER AGE MNGT SER,0.0,,0.0,0.05,1,EQ,NSE,NSE
154621,154621,88833,347,BANARBEADS,BANARAS BEADS,0.0,,0.0,0.01,1,EQ,NSE,NSE
154622,154622,89601,350,BANARISUG,BANNARI AMMAN SUGARS,0.0,,0.0,0.1,1,EQ,NSE,NSE
154623,154623,91393,357,NAM-INDIA,NIPPON L I A M,0.0,,0.0,0.05,1,EQ,NSE,NSE
154624,154624,91905,359,ROML,RAJ OIL MILLS,0.0,,0.0,0.01,1,EQ,NSE,NSE
154625,154625,94209,368,BASF,BASF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE
154626,154626,94977,371,BATAINDIA,BATA INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
154627,154627,97281,380,BBTC,BOMBAY BURMAH TRADING COR,0.0,,0.0,0.1,1,EQ,NSE,NSE
154628,154628,97537,381,SINTERCOM,SINTERCOM INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE
154629,154629,98049,383,BEL,BHARAT ELECTRONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
154630,154630,98561,385,MAHLOG,MAHINDRA LOGISTIC,0.0,,0.0,0.05,1,EQ,NSE,NSE
154631,154631,100609,393,GLOBE,GLOBE ENTERPRISE (I),0.0,,0.0,0.01,1,EQ,NSE,NSE
154632,154632,101121,395,BEML,BEML,0.0,,0.0,0.1,1,EQ,NSE,NSE
154633,154633,102145,399,NIACL,THE NEW INDIA ASSU CO,0.0,,0.0,0.01,1,EQ,NSE,NSE
154634,154634,103425,404,BERGEPAINT,BERGER PAINTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE
154635,154635,107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0.0,,0.0,0.01,1,EQ,NSE,NSE
154637,154637,108033,422,BHARATFORG,BHARAT FORGE,0.0,,0.0,0.1,1,EQ,NSE,NSE
154638,154638,108801,425,KHADIM,KHADIM INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE
154639,154639,109057,426,BHARATGEAR,BHARAT GEARS,0.0,,0.0,0.01,1,EQ,NSE,NSE
154644,154644,111617,436,IFGLEXPOR,IFGL REFRACTORIES,0.0,,0.0,0.01,1,EQ,NSE,NSE
154646,154646,112129,438,BHEL,BHEL,0.0,,0.0,0.05,1,EQ,NSE,NSE
154649,154649,113921,445,5PAISA,5PAISA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
154657,154657,119553,467,HDFCLIFE,HDFC LIFE INS CO,0.0,,0.0,0.05,1,EQ,NSE,NSE
154660,154660,120577,471,OSWALGREEN,OSWAL GREENTECH,0.0,,0.0,0.01,1,EQ,NSE,NSE
154662,154662,121345,474,3MINDIA,3M INDIA,0.0,,0.0,5.0,1,EQ,NSE,NSE
154664,154664,122113,477,BIRLACABLE,BIRLA CABLE,0.0,,0.0,0.01,1,EQ,NSE,NSE
154665,154665,122881,480,BIRLACORPN,BIRLA CORPORATION,0.0,,0.0,0.1,1,EQ,NSE,NSE
154666,154666,123393,482,AISL-SM,ANI INTEGRATED SERV,0.0,,0.0,0.05,600,EQ,NSE,NSE
154667,154667,125185,489,ICEMAKE,ICE MAKE REFRIGERAT,0.0,,0.0,0.05,1,EQ,NSE,NSE
154668,154668,126721,495,BLUEDART,BLUE DART EXPRESS,0.0,,0.0,0.5,1,EQ,NSE,NSE
154670,154670,129793,507,PULZ-SM,PULZ ELECTRONICS,0.0,,0.0,0.05,2000,EQ,NSE,NSE
154671,154671,130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,0.0,,0.0,0.1,1,EQ,NSE,NSE
154672,154672,131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,0.0,,0.0,0.01,1,EQ,NSE,NSE
154673,154673,133633,522,ICICIB22,BHARAT 22 ETF,0.0,,0.0,0.01,1,EQ,NSE,NSE
154674,154674,134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0.0,,0.0,0.05,1,EQ,NSE,NSE
154675,154675,134913,527,UTIAMC,UTI ASSET MNGMT CO,0.0,,0.0,0.05,1,EQ,NSE,NSE
154676,154676,135681,530,BPL,BPL,0.0,,0.0,0.01,1,EQ,NSE,NSE
